guild_id,guild_name,role_id,role_name,role_color,role_position,is_bot_role,is_default,member_count,created_at
266269732565549061,DDM,266269732565549061,@everyone,#000000,0,False,True,138,2017-01-04T18:20:51.296000+00:00
266269732565549061,DDM,1279326514982158420,DevMeetingNotesBot,#000000,1,True,False,1,2024-08-31T06:26:49.909000+00:00
266269732565549061,DDM,1278880307067752530,Meeting Notes,#000000,2,True,False,1,2024-08-30T00:53:45.652000+00:00
266269732565549061,DDM,1256677108411924531,I hate politics,#607d8b,3,False,False,1,2024-06-29T18:26:10.577000+00:00
266269732565549061,DDM,1200654763382018151,Minereaâ™ª,#000000,4,True,False,1,2024-01-27T04:13:22.677000+00:00
266269732565549061,DDM,1186314584764715111,EasyPoll,#000000,5,True,False,1,2023-12-18T14:30:37.667000+00:00
266269732565549061,DDM,1185366861668421734,Space Engineers,#000000,6,False,False,0,2023-12-15T23:44:42.873000+00:00
266269732565549061,DDM,1183835219707559956,NSFL-Application,#000000,7,False,False,0,2023-12-11T18:18:30.973000+00:00
266269732565549061,DDM,1183835035896385587,NSFW-Application,#000000,8,False,False,0,2023-12-11T18:17:47.149000+00:00
266269732565549061,DDM,1183828340017205248,Notifications,#000000,9,False,False,12,2023-12-11T17:51:10.727000+00:00
266269732565549061,DDM,1182548843317973095,carl-bot,#000000,10,True,False,1,2023-12-08T05:06:54.942000+00:00
266269732565549061,DDM,1174887781047214120,Eventer,#000000,11,False,False,3,2023-11-17T01:44:35.361000+00:00
266269732565549061,DDM,1103119544387637259,Soundboard Mute,#000000,12,False,False,0,2023-05-03T00:43:14.352000+00:00
266269732565549061,DDM,1094095643695398993,D&D 5E DotMM,#560179,13,False,False,4,2023-04-08T03:05:28.771000+00:00
266269732565549061,DDM,1066852553767276626,fr*nch,#000000,14,False,False,0,2023-01-22T22:51:09.980000+00:00
266269732565549061,DDM,1021148323744325793,Shadowrun Tokyo,#900799,15,False,False,11,2022-09-18T19:58:52.399000+00:00
266269732565549061,DDM,1018013388846141481,chummers,#80803f,16,False,False,6,2022-09-10T04:21:45.675000+00:00
266269732565549061,DDM,1018008574598848572,wrath-and-glory,#550713,17,False,False,2,2022-09-10T04:02:37.869000+00:00
266269732565549061,DDM,997731940067180674,zomboid,#000000,18,False,False,2,2022-07-16T05:10:31.475000+00:00
266269732565549061,DDM,984583624852635761,.fmbot,#000000,19,True,False,1,2022-06-09T22:23:48.844000+00:00
266269732565549061,DDM,921847572837068861,Hydra,#000000,20,True,False,1,2021-12-18T19:33:08.464000+00:00
266269732565549061,DDM,888582415835095040,Thriller Cat,#000000,21,False,False,6,2021-09-18T00:29:16.998000+00:00
266269732565549061,DDM,842831900703326218,Starfinder 2,#3498db,22,False,False,5,2021-05-14T18:33:04.187000+00:00
266269732565549061,DDM,821927880682242048,Starfinder,#00ffec,23,False,False,6,2021-03-18T02:07:57.436000+00:00
266269732565549061,DDM,812837085220306955,Valorant,#e74c3c,24,False,False,5,2021-02-21T00:04:22.899000+00:00
266269732565549061,DDM,793914616857362442,Pog-Pig,#ffcccb,25,False,False,1,2020-12-30T18:53:14.879000+00:00
266269732565549061,DDM,746850335011635263,LasVegasChummers,#1abc9c,26,False,False,4,2020-08-22T21:56:35.675000+00:00
266269732565549061,DDM,734961075136626790,Shadowrun,#00b36a,27,False,False,2,2020-07-21T02:32:55.229000+00:00
266269732565549061,DDM,732148294372950026,Emoji Power,#11806a,28,False,False,0,2020-07-13T08:15:56.036000+00:00
266269732565549061,DDM,724037766769279069,Vampire The Masquerade,#e74c3c,29,False,False,2,2020-06-20T23:07:35.569000+00:00
266269732565549061,DDM,719272447144230993,WOIN,#71368a,30,False,False,2,2020-06-07T19:31:54.835000+00:00
266269732565549061,DDM,718239755254366269,Toreadorable's D&D,#2ecc71,31,False,False,2,2020-06-04T23:08:21.902000+00:00
266269732565549061,DDM,709558211610411128,dogs mates,#000000,32,False,False,0,2020-05-12T00:11:00.602000+00:00
266269732565549061,DDM,694007602853707816,DND Crew,#000000,33,False,False,6,2020-03-30T02:18:26.558000+00:00
266269732565549061,DDM,680584939132944393,Dyno,#000000,34,True,False,1,2020-02-22T01:21:34.146000+00:00
266269732565549061,DDM,592104459803557902,Vehicle Maker 2100,#000000,35,False,False,2,2019-06-22T21:31:43.986000+00:00
266269732565549061,DDM,585649963632033803,Nitro Booster,#f47fff,36,False,False,2,2019-06-05T02:03:52.180000+00:00
266269732565549061,DDM,529521874095308859,movienight,#000000,37,False,False,0,2019-01-01T04:50:52.825000+00:00
266269732565549061,DDM,487736999856570369,DJ,#000000,38,False,False,14,2018-09-07T21:32:42.481000+00:00
266269732565549061,DDM,505943211626332180,Not A Coward,#ffffff,39,False,False,0,2018-10-28T03:17:41.622000+00:00
266269732565549061,DDM,481561870113964033,Debate Champion 2018,#000000,40,False,False,0,2018-08-21T20:34:56.822000+00:00
266269732565549061,DDM,470703563736088608,Emojimaster,#f1c40f,41,False,False,4,2018-07-22T21:27:54.844000+00:00
266269732565549061,DDM,421529713622908928,Absolute Fuckwit,#000000,42,False,False,1,2018-03-09T04:48:35.371000+00:00
266269732565549061,DDM,267404097961852929,TOXIC,#ccff00,43,False,False,0,2017-01-07T21:28:25.082000+00:00
266269732565549061,DDM,349361933511557132,outback,#f500ff,44,False,False,1,2017-08-22T01:19:35.780000+00:00
266269732565549061,DDM,296333134524579841,TTS Memes,#e74c3c,45,False,False,1,2017-03-28T17:22:04.874000+00:00
266269732565549061,DDM,287726375345979392,Dank,#00ff00,46,False,False,0,2017-03-04T23:21:53.580000+00:00
266269732565549061,DDM,274206986881466369,Eve Memers,#000000,47,False,False,0,2017-01-26T16:00:40.192000+00:00
266269732565549061,DDM,274206553215860736,Guest,#31003d,48,False,False,5,2017-01-26T15:58:56.798000+00:00
266269732565549061,DDM,270618127962865665,Powergamers,#000000,49,False,False,1,2017-01-16T18:19:49.548000+00:00
266269732565549061,DDM,266693964181143553,ss13,#000000,50,False,False,3,2017-01-05T22:26:35.995000+00:00
266269732565549061,DDM,266693962138517522,stellaris,#000000,51,False,False,3,2017-01-05T22:26:35.508000+00:00
266269732565549061,DDM,266693959726792724,overmeme,#000000,52,False,False,2,2017-01-05T22:26:34.933000+00:00
266269732565549061,DDM,266693956467687425,csgo,#000000,53,False,False,5,2017-01-05T22:26:34.156000+00:00
266269732565549061,DDM,483012850911019008,Priority Speaker (oh god why),#11806a,54,False,False,3,2018-08-25T20:40:37.602000+00:00
266269732565549061,DDM,281429595985805314,The Fluffy,#00ff00,55,False,False,1,2017-02-15T14:20:44.392000+00:00
266269732565549061,DDM,267126934834511882,Alcoholic,#a0522d,56,False,False,2,2017-01-07T03:07:04.243000+00:00
266269732565549061,DDM,345355517977296905,Home Invader,#ff0000,57,False,False,5,2017-08-10T23:59:31.881000+00:00
266269732565549061,DDM,288123214461403136,Memesters,#020202,58,False,False,3,2017-03-06T01:38:47.398000+00:00
266269732565549061,DDM,340918984457191445,Tributes,#ffcc00,59,False,False,0,2017-07-29T18:10:19.863000+00:00
266269732565549061,DDM,590733323991646225,NSFL,#e67e22,60,False,False,3,2019-06-19T02:43:19.734000+00:00
266269732565549061,DDM,274206971429912577,Degenerate,#e91e63,61,False,False,44,2017-01-26T16:00:36.508000+00:00
266269732565549061,DDM,658381222367723525,Lord of Degeneracy,#e91e63,62,False,False,0,2019-12-22T18:51:55.544000+00:00
266269732565549061,DDM,269157965167067138,Friend!!,#f1c40f,63,False,False,13,2017-01-12T17:37:39.609000+00:00
266269732565549061,DDM,281824228414849034,Super Friends!,#c23991,64,False,False,56,2017-02-16T16:28:52.095000+00:00
266269732565549061,DDM,659701595667431424,Meme King,#f1c40f,65,False,False,0,2019-12-26T10:18:37.070000+00:00
266269732565549061,DDM,664286216346140674,Registered Australian,#e74c3c,66,False,False,4,2020-01-08T01:56:15.818000+00:00
266269732565549061,DDM,266692889571098624,DDMer,#4da2d1,67,False,False,47,2017-01-05T22:22:19.788000+00:00
266269732565549061,DDM,798775536042115112,help avi has a gun to my head call the police,#9067d7,68,False,False,1,2021-01-13T04:48:48.324000+00:00
266269732565549061,DDM,266664788518502400,Staff,#a019e6,69,False,False,5,2017-01-05T20:30:39.975000+00:00
266269732565549061,DDM,1125239771053178931,Owner,#81b8af,70,False,False,1,2023-07-03T01:41:07.363000+00:00
266269732565549061,DDM,266776180760248320,Bot,#2ecc71,71,False,False,4,2017-01-06T03:53:17.955000+00:00
480695542155051010,The Faceless,480695542155051010,@everyone,#000000,0,False,True,1318,2018-08-19T11:12:28.141000+00:00
480695542155051010,The Faceless,1401363369977712751,F.A.C.E. #5 Security,#ffa400,1,False,False,3,2025-08-03T00:37:43.475000+00:00
480695542155051010,The Faceless,1399554169135693846,RoleBot,#000000,2,True,False,1,2025-07-29T00:48:36.381000+00:00
480695542155051010,The Faceless,1399250427035258912,FacelessEvent-19,#000000,3,False,False,4,2025-07-28T04:41:38.621000+00:00
480695542155051010,The Faceless,1399250423780474890,FacelessEvent-18,#000000,4,False,False,2,2025-07-28T04:41:37.845000+00:00
480695542155051010,The Faceless,1399250421549367476,FacelessEvent-17,#000000,5,False,False,0,2025-07-28T04:41:37.313000+00:00
480695542155051010,The Faceless,1392218139227590819,Roles,#000000,6,True,False,1,2025-07-08T18:57:50.554000+00:00
480695542155051010,The Faceless,1392214485250347158,Photography Competition,#000000,7,False,False,0,2025-07-08T18:43:19.378000+00:00
480695542155051010,The Faceless,1392214261836550287,Improv,#000000,8,False,False,0,2025-07-08T18:42:26.112000+00:00
480695542155051010,The Faceless,1392214221592330290,Scare Acting,#000000,9,False,False,0,2025-07-08T18:42:16.517000+00:00
480695542155051010,The Faceless,1392213987168616518,Languages,#000000,10,False,False,0,2025-07-08T18:41:20.626000+00:00
480695542155051010,The Faceless,1392213932810440786,Philosophy,#000000,11,False,False,0,2025-07-08T18:41:07.666000+00:00
480695542155051010,The Faceless,1392213888522518670,Sociology,#000000,12,False,False,0,2025-07-08T18:40:57.107000+00:00
480695542155051010,The Faceless,1392213840225112155,Music Production,#000000,13,False,False,0,2025-07-08T18:40:45.592000+00:00
480695542155051010,The Faceless,1392213622226419733,Waving/Liquid,#000000,14,False,False,0,2025-07-08T18:39:53.617000+00:00
480695542155051010,The Faceless,1392213565519167548,Freestyle Dance,#000000,15,False,False,0,2025-07-08T18:39:40.097000+00:00
480695542155051010,The Faceless,1392213369284591787,Flow Arts,#000000,16,False,False,0,2025-07-08T18:38:53.311000+00:00
480695542155051010,The Faceless,1392213330457923594,Beyond Dance,#000000,17,False,False,0,2025-07-08T18:38:44.054000+00:00
480695542155051010,The Faceless,1392213286644219994,VR Fundamentals,#000000,18,False,False,0,2025-07-08T18:38:33.608000+00:00
480695542155051010,The Faceless,1392212893100933352,Art Classes,#000000,19,False,False,0,2025-07-08T18:36:59.780000+00:00
480695542155051010,The Faceless,1392212547360260176,IRL Events,#000000,20,False,False,0,2025-07-08T18:35:37.349000+00:00
480695542155051010,The Faceless,1392212416112365681,Discord Competitions,#000000,21,False,False,0,2025-07-08T18:35:06.057000+00:00
480695542155051010,The Faceless,1392212045323305020,Portal Posse,#000000,22,False,False,0,2025-07-08T18:33:37.654000+00:00
480695542155051010,The Faceless,1392211714308837507,Podcasts,#000000,23,False,False,0,2025-07-08T18:32:18.734000+00:00
480695542155051010,The Faceless,1392211365455724605,Meditation,#000000,24,False,False,0,2025-07-08T18:30:55.561000+00:00
480695542155051010,The Faceless,1392211256399888554,Particle Dancing,#000000,25,False,False,0,2025-07-08T18:30:29.560000+00:00
480695542155051010,The Faceless,1392211204864344175,Pole Dancing,#000000,26,False,False,0,2025-07-08T18:30:17.273000+00:00
480695542155051010,The Faceless,1392211149595869254,GOGO Dance,#000000,27,False,False,0,2025-07-08T18:30:04.096000+00:00
480695542155051010,The Faceless,1392210986387116173,ASL Class,#000000,28,False,False,0,2025-07-08T18:29:25.184000+00:00
480695542155051010,The Faceless,1392210886487445655,Coding,#000000,29,False,False,0,2025-07-08T18:29:01.366000+00:00
480695542155051010,The Faceless,1392210837330067576,Blender/Unity,#000000,30,False,False,0,2025-07-08T18:28:49.646000+00:00
480695542155051010,The Faceless,1392210777888526366,DJ Class,#000000,31,False,False,20,2025-07-08T18:28:35.474000+00:00
480695542155051010,The Faceless,1392210704140079285,Breakin',#000000,32,False,False,0,2025-07-08T18:28:17.891000+00:00
480695542155051010,The Faceless,1392210655318114415,Wotagei,#000000,33,False,False,0,2025-07-08T18:28:06.251000+00:00
480695542155051010,The Faceless,1392210566407524382,YOGA,#000000,34,False,False,0,2025-07-08T18:27:45.053000+00:00
480695542155051010,The Faceless,1392210510971277453,Vocal Class,#000000,35,False,False,0,2025-07-08T18:27:31.836000+00:00
480695542155051010,The Faceless,1392210454822260737,Esoterics,#000000,36,False,False,0,2025-07-08T18:27:18.449000+00:00
480695542155051010,The Faceless,1392210393224450139,LOFT,#000000,37,False,False,0,2025-07-08T18:27:03.763000+00:00
480695542155051010,The Faceless,1392210349956010075,CHILL,#000000,38,False,False,0,2025-07-08T18:26:53.447000+00:00
480695542155051010,The Faceless,1392210291437080646,VIBE,#000000,39,False,False,0,2025-07-08T18:26:39.495000+00:00
480695542155051010,The Faceless,1392210170439929877,Photography,#000000,40,False,False,0,2025-07-08T18:26:10.647000+00:00
480695542155051010,The Faceless,1392210116924674212,Bachata,#000000,41,False,False,0,2025-07-08T18:25:57.888000+00:00
480695542155051010,The Faceless,1392210075950649415,Waltz,#000000,42,False,False,0,2025-07-08T18:25:48.119000+00:00
480695542155051010,The Faceless,1392210030912340119,Shufflin',#000000,43,False,False,0,2025-07-08T18:25:37.381000+00:00
480695542155051010,The Faceless,1392209941275742309,KRUMP,#000000,44,False,False,0,2025-07-08T18:25:16.010000+00:00
480695542155051010,The Faceless,1392209871323140146,Tuttin',#000000,45,False,False,0,2025-07-08T18:24:59.332000+00:00
480695542155051010,The Faceless,1392209818311196803,Robot Dance,#000000,46,False,False,0,2025-07-08T18:24:46.693000+00:00
480695542155051010,The Faceless,1392209749126152242,Boppin',#000000,47,False,False,0,2025-07-08T18:24:30.198000+00:00
480695542155051010,The Faceless,1392209677282185446,Animation Dance,#000000,48,False,False,0,2025-07-08T18:24:13.069000+00:00
480695542155051010,The Faceless,1392209609053179925,Lockin',#000000,49,False,False,0,2025-07-08T18:23:56.802000+00:00
480695542155051010,The Faceless,1392209545522057298,Poppin',#000000,50,False,False,0,2025-07-08T18:23:41.655000+00:00
480695542155051010,The Faceless,1392209466362957845,Hip Hop,#000000,51,False,False,0,2025-07-08T18:23:22.782000+00:00
480695542155051010,The Faceless,1392209391872250027,House Dance,#000000,52,False,False,0,2025-07-08T18:23:05.022000+00:00
480695542155051010,The Faceless,1386472000285052948,meetingg,#000000,53,False,False,0,2025-06-22T22:24:44.272000+00:00
480695542155051010,The Faceless,1373511723893653587,BASIC Scraper,#000000,54,True,False,1,2025-05-18T04:05:13.590000+00:00
480695542155051010,The Faceless,1354994214617874462,Trusted,#000000,55,False,False,3,2025-03-28T01:43:15.340000+00:00
480695542155051010,The Faceless,1354965684563742874,Tickets v2,#000000,56,True,False,1,2025-03-27T23:49:53.245000+00:00
480695542155051010,The Faceless,1349273647566815252,Free Spirit,#000000,57,False,False,1,2025-03-12T06:51:45.872000+00:00
480695542155051010,The Faceless,1337958658075525243,FACE Photographer,#000000,58,False,False,1,2025-02-09T01:30:02.155000+00:00
480695542155051010,The Faceless,1337231370115616912,FACE Performer,#71368a,59,False,False,23,2025-02-07T01:20:03.193000+00:00
480695542155051010,The Faceless,1331739113077866569,FacelessBot,#000000,60,True,False,1,2025-01-22T21:35:47.074000+00:00
480695542155051010,The Faceless,1319171977176682596,Seal of the Faceless,#a30057,61,False,False,12,2024-12-19T05:18:28.389000+00:00
480695542155051010,The Faceless,1301318504523497544,ChronicleBot,#000000,62,True,False,1,2024-10-30T22:55:08.807000+00:00
480695542155051010,The Faceless,1282837375659282456,Meeting Notes,#000000,63,True,False,1,2024-09-09T22:57:44.323000+00:00
480695542155051010,The Faceless,1277985532508377165,Tickets,#000000,64,True,False,1,2024-08-27T13:38:14.773000+00:00
480695542155051010,The Faceless,1262140292119789569,tshirt2winner,#000000,65,False,False,1,2024-07-14T20:14:55.074000+00:00
480695542155051010,The Faceless,1262140153342722139,avatarwinner,#000000,66,False,False,2,2024-07-14T20:14:21.987000+00:00
480695542155051010,The Faceless,1262139901764440156,Wormsclanwarwinner,#000000,67,False,False,2,2024-07-14T20:13:22.006000+00:00
480695542155051010,The Faceless,1262139680414105690,terraria winner,#000000,68,False,False,4,2024-07-14T20:12:29.232000+00:00
480695542155051010,The Faceless,1249959456523948093,ðŸŽ‚,#ac1cfe,69,False,False,1,2024-06-11T05:32:37.559000+00:00
480695542155051010,The Faceless,1298069159522992200,Haunter Of Dreams '24,#e74c3c,70,False,False,13,2024-10-21T23:43:24.589000+00:00
480695542155051010,The Faceless,1216640217553833994,Karaoke,#000000,71,False,False,299,2024-03-11T06:53:51.947000+00:00
480695542155051010,The Faceless,1226699190730756136,crystal,#000000,72,False,False,1002,2024-04-08T01:04:38.039000+00:00
480695542155051010,The Faceless,1210737827667644436,hush hush,#000000,73,False,False,36,2024-02-23T23:59:52.537000+00:00
480695542155051010,The Faceless,1210262400985727066,Community Manager,#000000,74,False,False,1,2024-02-22T16:30:41.983000+00:00
480695542155051010,The Faceless,1198990396928303154,Pending Investigation,#dd9100,75,False,False,9,2024-01-22T13:59:46.792000+00:00
480695542155051010,The Faceless,1197641401194782720,Viewer of Faces,#000000,76,False,False,55,2024-01-18T20:39:21.146000+00:00
480695542155051010,The Faceless,1197636548850626620,Health&wellness,#000000,77,False,False,372,2024-01-18T20:20:04.257000+00:00
480695542155051010,The Faceless,1197636291198734378,Temple,#000000,78,False,False,237,2024-01-18T20:19:02.828000+00:00
480695542155051010,The Faceless,1197093404333576233,Game Night,#000000,79,False,False,98,2024-01-17T08:21:48.513000+00:00
480695542155051010,The Faceless,1197091159483371570,Movie Night,#000000,80,False,False,156,2024-01-17T08:12:53.299000+00:00
480695542155051010,The Faceless,1197090894139097128,Giveaways,#000000,81,False,False,103,2024-01-17T08:11:50.036000+00:00
480695542155051010,The Faceless,1197093562093928458,Faceless Events,#000000,82,False,False,248,2024-01-17T08:22:26.126000+00:00
480695542155051010,The Faceless,1123436554971525121,VRChat,#000000,83,False,False,1077,2023-06-28T02:15:47.147000+00:00
480695542155051010,The Faceless,724977948720889917,Initiate,#c2bddf,84,False,False,1254,2020-06-23T13:23:32.414000+00:00
480695542155051010,The Faceless,1203131947639906314,Pal World,#96bbb5,85,False,False,10,2024-02-03T00:16:49.428000+00:00
480695542155051010,The Faceless,726369852616474665,Dancer,#5a6083,86,False,False,756,2020-06-27T09:34:28.163000+00:00
480695542155051010,The Faceless,1163047310889062420,DJ,#708863,87,False,False,280,2023-10-15T09:34:47.290000+00:00
480695542155051010,The Faceless,1311900689559060510,World/avatar/asset Creator,#ad1457,88,False,False,219,2024-11-29T03:44:58.327000+00:00
480695542155051010,The Faceless,724933110545907714,Streamer,#c9af79,89,False,False,258,2020-06-23T10:25:22.160000+00:00
480695542155051010,The Faceless,1207783887359705118,Currently Streaming,#7cc78e,90,False,False,0,2024-02-15T20:21:58.286000+00:00
480695542155051010,The Faceless,724985966271397909,Server Booster,#8a5f7c,91,False,False,8,2020-06-23T13:55:23.947000+00:00
480695542155051010,The Faceless,1319549488141963284,Acolyte,#7e1bde,92,False,False,13,2024-12-20T06:18:34.017000+00:00
480695542155051010,The Faceless,1242926913341751407,discord event maker,#000000,93,False,False,4,2024-05-22T19:47:48.606000+00:00
480695542155051010,The Faceless,1383186517132050502,F.A.C.E. Creator,#00f6af,94,False,False,11,2025-06-13T20:49:24.047000+00:00
480695542155051010,The Faceless,1219371922026926081,The Many Faces,#9c566b,95,False,False,11,2024-03-18T19:48:41.046000+00:00
480695542155051010,The Faceless,1163347876718592000,Painter of Faces,#72939e,96,False,False,4,2023-10-16T05:29:07.768000+00:00
480695542155051010,The Faceless,1163345723262242816,The Architects,#816860,97,False,False,2,2023-10-16T05:20:34.344000+00:00
480695542155051010,The Faceless,1210113626904727584,Emoji.gg Bot,#575757,98,True,False,1,2024-02-22T06:39:31.478000+00:00
480695542155051010,The Faceless,1202158509366448130,Indifferent Broccoli Bot,#575757,99,True,False,1,2024-01-31T07:48:43.658000+00:00
480695542155051010,The Faceless,583814011863433220,BetterTTV,#575757,100,True,False,1,2019-05-31T00:28:27.168000+00:00
480695542155051010,The Faceless,1195828877268885566,Streamcord,#575757,101,True,False,1,2024-01-13T20:37:01.767000+00:00
480695542155051010,The Faceless,1249955337516355618,Keeper of Birthdays,#1f0303,102,True,False,1,2024-06-11T05:16:15.511000+00:00
