user_id,role_id,username,role_name,schedule_bot_events,discord_scheduled_events,manual_interest_events
101499886884651008,1210262400985726976,no_44,Community Manager,1,0,0
101499886884651008,1392210170439929856,no_44,Photography,2,0,0
101499886884651008,1392210291437080576,no_44,VIBE,1,0,0
101499886884651008,1392210454822260736,no_44,Esoterics,1,0,0
101499886884651008,1392210510971277568,no_44,Vocal Class,1,0,0
101499886884651008,1392210566407524352,no_44,YOGA,1,0,0
101499886884651008,1392210886487445760,no_44,Coding,1,0,0
101499886884651008,1392210986387116032,no_44,ASL Class,4,0,0
101499886884651008,1392210986387116288,no_44,ASL Class,1,0,0
101499886884651008,1392211149595869184,no_44,GOGO Dance,1,0,0
101499886884651008,1392211365455724605,no_44,Meditation,2,0,0
101499886884651008,1392212045323304960,no_44,Portal Posse,1,0,0
101499886884651008,1392213840225112064,no_44,Music Production,1,0,0
1022547160975294566,1392210704140079360,n0cturnal._,Breakin',3,0,0
102911741737828352,1392210704140079360,mitsukaki,Breakin',0,1,0
1037506503738937426,1392210566407524352,anon3ko,YOGA,3,0,0
1037506503738937426,1392210655318114304,anon3ko,Wotagei,1,0,0
1037506503738937426,1392211365455724605,anon3ko,Meditation,4,0,0
103767981187694592,1392210510971277568,mitey,Vocal Class,0,1,0
103767981187694592,1392210566407524352,mitey,YOGA,0,1,1
103767981187694592,1392210704140079360,mitey,Breakin',0,1,0
103767981187694592,1392211365455724605,mitey,Meditation,0,0,1
105427667146293248,1163047310889062400,kiotakashi,DJ,2,0,0
105427667146293248,1392209677282185728,kiotakashi,Animation Dance,1,0,0
105427667146293248,1392210291437080576,kiotakashi,VIBE,13,0,0
105427667146293248,1392210566407524352,kiotakashi,YOGA,6,0,0
105427667146293248,1392210837330067712,kiotakashi,Blender/Unity,4,0,0
105427667146293248,1392211149595869184,kiotakashi,GOGO Dance,15,0,0
105427667146293248,1392211204864344064,kiotakashi,Pole Dancing,1,0,0
105427667146293248,1392212045323304960,kiotakashi,Portal Posse,5,0,0
105427667146293248,1392213330457923584,kiotakashi,Beyond Dance,3,0,0
105427667146293248,1392213888522518784,kiotakashi,Sociology,1,0,0
1059979607383736361,1392210566407524352,miyuno.exe,YOGA,9,1,0
1063573805160747068,1163047310889062400,.dayhawk,DJ,3,0,0
1063573805160747068,1392210510971277568,.dayhawk,Vocal Class,1,1,0
1063573805160747068,1392210837330067712,.dayhawk,Blender/Unity,2,0,0
1063573805160747068,1392210886487445760,.dayhawk,Coding,1,1,0
1063573805160747068,1392213840225112064,.dayhawk,Music Production,2,0,0
106429894430302208,1392210291437080576,merton,VIBE,1,0,0
106429894430302208,1392210566407524352,merton,YOGA,1,0,0
106429894430302208,1392210837330067712,merton,Blender/Unity,1,0,0
106429894430302208,1392212045323304960,merton,Portal Posse,1,0,0
107570567015579648,1392210170439930112,evebynx,Photography,1,0,0
1081523617021579294,1392210454822260736,camu292,Esoterics,1,0,0
1096742748234711090,1392211365455724605,myspiritway,Meditation,1,0,0
1099544873364889732,1392210886487445760,blissfulasperations.,Coding,0,1,1
1099544873364889732,1392213840225112064,blissfulasperations.,Music Production,0,0,1
1118233964616888402,1210262400985726976,kingofgrime,Community Manager,1,0,0
114999108996956165,1392210986387116032,neon_snipe,ASL Class,0,0,2
1189410645112795176,1392210566407524352,misaki4352,YOGA,0,2,1
1189410645112795176,1392210655318114304,misaki4352,Wotagei,1,0,0
119945788586590208,1392210510971277568,njnagrimsdottir,Vocal Class,0,1,0
119945788586590208,1392210566407524352,njnagrimsdottir,YOGA,0,1,0
1206819550465757278,1392211149595869184,_kitrion_,GOGO Dance,1,0,0
1215347872623497316,1392211149595869184,starsrebellion,GOGO Dance,1,0,0
1222293216468926625,1392211365455724605,pinkicloud,Meditation,1,0,0
1245196799795527720,1163047310889062400,hangman_merchants_21368,DJ,1,0,0
126086140846407680,1392210566407524352,dro29,YOGA,4,1,0
126086140846407680,1392210704140079360,dro29,Breakin',3,1,0
126086140846407680,1392210837330067712,dro29,Blender/Unity,3,0,0
1265246005411053681,1392210704140079360,bboy.jin,Breakin',1,0,0
1285656355021131792,1392210291437080576,phoenix051323,VIBE,1,0,0
1285656355021131792,1392210986387116032,phoenix051323,ASL Class,1,0,0
1288959786154590363,1392210454822260736,willgold37,Esoterics,1,0,0
135691742937612288,1392210704140079360,ayeton,Breakin',0,1,0
147237351788118018,1392210704140079360,_ratpunk,Breakin',0,1,0
148388754044747776,1392209391872250112,tarkus_,House Dance,1,0,0
148388754044747776,1392210075950649088,tarkus_,Waltz,1,0,0
148745430996353024,1392210510971277568,elkeila,Vocal Class,1,0,0
150338531582148608,1392210510971277568,notarobotcat,Vocal Class,0,1,0
150338531582148608,1392210566407524352,notarobotcat,YOGA,0,2,1
150338531582148608,1392210986387116032,notarobotcat,ASL Class,0,0,2
150338531582148608,1392213840225112064,notarobotcat,Music Production,0,0,1
163910917870845962,1163047310889062400,dreivan,DJ,1,0,0
166322439351959552,1163047310889062400,ashmoney69,DJ,1,0,0
169968484263002113,1392210704140079360,madness480,Breakin',1,0,0
170914233670696960,1392210704140079360,sleightlyout,Breakin',0,1,0
175304048310747137,1210262400985726976,illucio,Community Manager,1,0,0
175304048310747137,1392210510971277568,illucio,Vocal Class,2,0,0
175304048310747137,1392210566407524352,illucio,YOGA,2,0,0
177766183775240192,1392210510971277568,punkarts,Vocal Class,2,0,0
177766183775240192,1392213840225112064,punkarts,Music Production,1,0,0
177930966252257290,1392210704140079360,pendikun,Breakin',0,1,0
178950222913863682,1392211149595869184,djlimitbreak,GOGO Dance,1,0,0
180340126944067585,1163047310889062400,airbee_,DJ,1,0,0
180340126944067585,1392210075950649088,airbee_,Waltz,7,0,0
180340126944067585,1392210116924674304,airbee_,Bachata,5,0,0
180340126944067585,1392210510971277568,airbee_,Vocal Class,1,0,0
180340126944067585,1392210655318114304,airbee_,Wotagei,1,0,0
180340126944067585,1392210704140079360,airbee_,Breakin',1,0,0
182009410837544960,1392209677282185728,red.riding.hood,Animation Dance,1,0,0
182009410837544960,1392210075950649088,red.riding.hood,Waltz,1,0,0
182009410837544960,1392210116924674304,red.riding.hood,Bachata,4,0,0
182009410837544960,1392210393224450048,red.riding.hood,LOFT,1,0,0
182009410837544960,1392210510971277568,red.riding.hood,Vocal Class,5,0,0
182009410837544960,1392210655318114304,red.riding.hood,Wotagei,1,0,0
182009410837544960,1392210704140079360,red.riding.hood,Breakin',2,0,0
182009410837544960,1392211149595869184,red.riding.hood,GOGO Dance,3,0,0
182009410837544960,1392213330457923584,red.riding.hood,Beyond Dance,1,0,0
183720544120602624,1392210566407524352,hunniibunny,YOGA,0,1,1
191322834599936001,1392211714308837632,ghosttowntunes,Podcasts,0,0,1
192761893239128064,1392213840225112064,.catz,Music Production,0,0,1
193030106636091393,1392210566407524352,okamiyoru,YOGA,0,1,0
193030106636091393,1392210704140079360,okamiyoru,Breakin',0,1,0
204740758681550848,1392210704140079360,larens,Breakin',0,1,0
206146702464385024,1392210170439930112,gabrielvis8,Photography,2,0,0
206146702464385024,1392210704140079360,gabrielvis8,Breakin',1,1,0
209711249343119360,1210262400985726976,mionsa,Community Manager,1,0,0
209711249343119360,1392210510971277568,mionsa,Vocal Class,1,0,0
209711249343119360,1392210566407524352,mionsa,YOGA,1,0,0
209711249343119360,1392210837330067712,mionsa,Blender/Unity,1,0,0
209711249343119360,1392210886487445760,mionsa,Coding,3,0,0
210188515076472833,1392210510971277568,shinastark,Vocal Class,0,1,0
211750261922725888,1163047310889062400,basic_bit,DJ,31,0,0
211750261922725888,1210262400985726976,basic_bit,Community Manager,18,0,0
211750261922725888,1392209391872250112,basic_bit,House Dance,1,0,0
211750261922725888,1392209677282185728,basic_bit,Animation Dance,1,0,0
211750261922725888,1392210170439929856,basic_bit,Photography,10,0,0
211750261922725888,1392210170439930112,basic_bit,Photography,11,0,0
211750261922725888,1392210291437080576,basic_bit,VIBE,19,0,0
211750261922725888,1392210393224450048,basic_bit,LOFT,2,0,0
211750261922725888,1392210566407524352,basic_bit,YOGA,24,2,1
211750261922725888,1392210704140079360,basic_bit,Breakin',23,1,0
211750261922725888,1392210837330067712,basic_bit,Blender/Unity,27,1,0
211750261922725888,1392210886487445760,basic_bit,Coding,24,1,1
211750261922725888,1392210986387116032,basic_bit,ASL Class,1,0,0
211750261922725888,1392211149595869184,basic_bit,GOGO Dance,4,0,1
211750261922725888,1392211204864344064,basic_bit,Pole Dancing,1,0,0
211750261922725888,1392211365455724605,basic_bit,Meditation,12,0,1
211750261922725888,1392211714308837632,basic_bit,Podcasts,0,0,1
211750261922725888,1392212045323304960,basic_bit,Portal Posse,5,0,0
211750261922725888,1392213286644219904,basic_bit,VR Fundamentals,1,0,0
211750261922725888,1392213330457923584,basic_bit,Beyond Dance,8,0,1
211750261922725888,1392213840225112064,basic_bit,Music Production,4,0,1
211750261922725888,1392213888522518784,basic_bit,Sociology,1,0,0
215954273920483328,1392210454822260736,passtheketchup,Esoterics,1,0,0
215954273920483328,1392210837330067712,passtheketchup,Blender/Unity,1,0,0
215954273920483328,1392213330457923584,passtheketchup,Beyond Dance,1,0,0
217069029620318208,1392210510971277568,embryonic.synth,Vocal Class,0,1,0
217069029620318208,1392210566407524352,embryonic.synth,YOGA,0,1,1
217069029620318208,1392213840225112064,embryonic.synth,Music Production,0,0,1
221475839156420609,1163047310889062400,wh4tth3huh,DJ,1,0,0
221475839156420609,1392213840225112064,wh4tth3huh,Music Production,1,0,0
225071551148589056,1392210566407524352,queen_of_hearts,YOGA,0,1,1
225867532634947584,1392210510971277568,leisurelypie,Vocal Class,1,0,0
233815839806193664,1210262400985726976,foxyfoo,Community Manager,2,0,0
233815839806193664,1392210170439929856,foxyfoo,Photography,1,0,0
233815839806193664,1392210291437080576,foxyfoo,VIBE,2,0,0
233815839806193664,1392210454822260736,foxyfoo,Esoterics,2,0,0
233815839806193664,1392210510971277568,foxyfoo,Vocal Class,2,1,0
233815839806193664,1392210566407524352,foxyfoo,YOGA,0,2,1
233815839806193664,1392210704140079360,foxyfoo,Breakin',0,1,0
233815839806193664,1392210986387116032,foxyfoo,ASL Class,0,0,1
233815839806193664,1392211204864344064,foxyfoo,Pole Dancing,1,0,0
233815839806193664,1392211365455724605,foxyfoo,Meditation,2,0,1
233815839806193664,1392212045323304960,foxyfoo,Portal Posse,1,0,0
233815839806193664,1392213840225112064,foxyfoo,Music Production,0,0,1
246852491659051010,1392210704140079360,judgbin,Breakin',0,1,0
246852491659051010,1392210986387116032,judgbin,ASL Class,0,0,1
247019280816799744,1392210454822260736,gregorif,Esoterics,1,0,0
247019280816799744,1392211149595869184,gregorif,GOGO Dance,8,0,1
248590944004341761,1392210837330067712,wiccke,Blender/Unity,1,0,0
249373049214861313,1210262400985726976,hypophrenia,Community Manager,1,0,0
249373049214861313,1392210075950649088,hypophrenia,Waltz,2,0,0
249373049214861313,1392210116924674304,hypophrenia,Bachata,1,0,0
249373049214861313,1392210170439929856,hypophrenia,Photography,1,0,0
249373049214861313,1392210291437080576,hypophrenia,VIBE,2,0,0
249373049214861313,1392210454822260736,hypophrenia,Esoterics,1,0,0
249373049214861313,1392210510971277568,hypophrenia,Vocal Class,3,0,0
249373049214861313,1392210566407524352,hypophrenia,YOGA,3,0,0
249373049214861313,1392210704140079360,hypophrenia,Breakin',1,0,0
249373049214861313,1392210837330067712,hypophrenia,Blender/Unity,3,0,0
249373049214861313,1392210886487445760,hypophrenia,Coding,1,0,0
249373049214861313,1392210986387116032,hypophrenia,ASL Class,2,0,0
249373049214861313,1392210986387116288,hypophrenia,ASL Class,1,0,0
249373049214861313,1392211149595869184,hypophrenia,GOGO Dance,4,0,0
249373049214861313,1392211365455724605,hypophrenia,Meditation,1,0,0
249373049214861313,1392213286644219904,hypophrenia,VR Fundamentals,1,0,0
249373049214861313,1392213330457923584,hypophrenia,Beyond Dance,1,0,0
249373049214861313,1392213840225112064,hypophrenia,Music Production,1,0,0
258653139048071178,1163047310889062400,chimera_ix,DJ,5,0,0
258653139048071178,1392210510971277568,chimera_ix,Vocal Class,0,1,0
258653139048071178,1392211149595869184,chimera_ix,GOGO Dance,0,0,1
258653139048071178,1392213840225112064,chimera_ix,Music Production,0,0,1
259769406819663873,1392210566407524352,minz3,YOGA,0,2,1
261014673678270464,1163047310889062400,kitpup,DJ,15,0,0
261014673678270464,1210262400985726976,kitpup,Community Manager,3,0,0
261014673678270464,1392209677282185728,kitpup,Animation Dance,1,0,0
261014673678270464,1392210075950649088,kitpup,Waltz,9,0,0
261014673678270464,1392210116924674304,kitpup,Bachata,10,0,0
261014673678270464,1392210291437080576,kitpup,VIBE,9,0,0
261014673678270464,1392210393224450048,kitpup,LOFT,2,0,0
261014673678270464,1392210454822260736,kitpup,Esoterics,7,0,1
261014673678270464,1392210510971277568,kitpup,Vocal Class,13,0,0
261014673678270464,1392210837330067712,kitpup,Blender/Unity,8,0,0
261014673678270464,1392210986387116032,kitpup,ASL Class,10,0,0
261014673678270464,1392210986387116288,kitpup,ASL Class,4,0,0
261014673678270464,1392211149595869184,kitpup,GOGO Dance,7,0,0
261014673678270464,1392211204864344064,kitpup,Pole Dancing,2,0,0
261014673678270464,1392211365455724605,kitpup,Meditation,1,0,0
261014673678270464,1392212045323304960,kitpup,Portal Posse,3,0,0
261014673678270464,1392213330457923584,kitpup,Beyond Dance,2,0,0
261014673678270464,1392213840225112064,kitpup,Music Production,6,0,0
261953445198561303,1392210566407524352,rubixcreates,YOGA,0,1,0
264292721542430720,1163047310889062400,mrmaximus97,DJ,2,0,0
264292721542430720,1210262400985726976,mrmaximus97,Community Manager,7,0,0
264292721542430720,1392210291437080576,mrmaximus97,VIBE,2,0,0
264292721542430720,1392210454822260736,mrmaximus97,Esoterics,8,0,0
264292721542430720,1392210510971277568,mrmaximus97,Vocal Class,7,1,0
264292721542430720,1392210566407524352,mrmaximus97,YOGA,7,1,1
264292721542430720,1392210655318114304,mrmaximus97,Wotagei,2,0,0
264292721542430720,1392210886487445760,mrmaximus97,Coding,1,0,0
264292721542430720,1392210986387116032,mrmaximus97,ASL Class,4,0,0
264292721542430720,1392211149595869184,mrmaximus97,GOGO Dance,1,0,0
264292721542430720,1392211204864344064,mrmaximus97,Pole Dancing,2,0,0
264292721542430720,1392211365455724605,mrmaximus97,Meditation,6,0,0
264292721542430720,1392213330457923584,mrmaximus97,Beyond Dance,1,0,0
264292721542430720,1392213840225112064,mrmaximus97,Music Production,1,0,0
278217168489807873,1392209391872250112,neon.lia,House Dance,1,0,0
278217168489807873,1392213330457923584,neon.lia,Beyond Dance,0,0,1
282757724771713025,1392210510971277568,lotus7084,Vocal Class,0,1,0
282757724771713025,1392210566407524352,lotus7084,YOGA,0,1,0
283102779772502016,1163047310889062400,blackbelt33,DJ,2,0,0
283102779772502016,1392210291437080576,blackbelt33,VIBE,1,0,0
283102779772502016,1392210704140079360,blackbelt33,Breakin',1,0,0
283102779772502016,1392210837330067712,blackbelt33,Blender/Unity,1,0,0
283102779772502016,1392210886487445760,blackbelt33,Coding,1,0,0
